id;nome;cep;endereco;Unnamed: 4;latitude;longitude
10937;DON VIGOLO;89245000;ROB BR 280,KM 21, 10765, ARAQUARI, BRASIL;;-26.37156;-48.72328
11750;CASA BAHIA MERCEARIA;89012001;RUA SAO PAULO, 443 SL 01, BLUMENAU, BRASIL;;-26.901854;-49.0778045
12083;REST SABORES DA ROCA;81670080;RUA PROFESSOR JOAO SOARES BARCELOS, 1669, CURITIBA, BRASIL;;-25.4961823;-49.2470198
12317;DONA TORTA;89223005;AVENIDA ROLF WIEST, 333 SALA 7, JOINVILLE, BRASIL;;-26.255115;-48.8520169
12412;REST DO BOSQUE*;88190000;RUA DOS RECANTOS, 88, GOVERNADOR CELSO RAMOS, BRASIL;;-27.32363;-48.54064
13335;PIZZAR LENHA E OLIV-;88037395;RUA VERA LINHARES DE ANDRADE, 1870, FLORIANOPOLIS, BRASIL;;-27.597482;-48.4987248
14066;CONFEITARIA DA NENA;83870000;AV MIGUEL KOMARCHEWSKI, 740, CAMPO DO TENENTE, BRASIL;;-25.98084;-49.68309
16168;REST E POUSADA  BLU*;88210000;AV SENADOR ATILIO FONTANA, 0, PORTO BELO, BRASIL;;-27.15711;-48.57559
16364;RECANTO DO SALTINHO;83190000;ESTRADA DO SALTINHO, SN, TIJUCAS DO SUL, BRASIL;;-25.9231;-49.17834
16518;REST PORTO ACORES;88067200;ESTRADA JOAO BELARMINO DA SILVA, 1695, FLORIANOPOLIS, BRASIL;;-27.7796237;-48.5209451
16638;SR. CHURRASCO;83255000;RUA SAO LUIZ, 492, PONTAL DO PARANA, BRASIL;;-25.69195;-48.47307
17115;RIO DA PRATA ALIMENT;89239400;ROD SC 418 KM 06, 5317, JOINVILLE, BRASIL;;-26.1984771;-48.920197
17284;BOTEQUIM DAS FLORES-;88051000;ROD GILSON DA COSTA XAVIER,1520, FLORIANOPOLIS, BRASIL;;-27.4987219;-48.5241015
